trt_group	sample_time	marker	avg_dc	sd_dc
TA	DAY1	C4	5.77083404755969	0.882388537118368
TA	DAY1	C8	5.8054886594711	1.10489623272052
TA	DAY1	TG	2.8565802105354	0.707811450831736
TA	DAY15	C4	6.07609924277298	1.30275486515205
TA	DAY15	C8	5.9151610299674	1.16233848822416
TA	DAY15	TG	4.32292029334857	0.978541186932788
TA	DAY22	C4	6.55248054017477	0.226821674148347
TA	DAY22	C8	6.35528210103209	0.209527592791611
TA	DAY22	TG	4.93857675863348	0.519106966296456
TA	DAY29	C4	5.75241107425055	0.698346028133785
TA	DAY29	C8	5.88514194619466	0.833975215727863
TA	DAY29	TG	3.83066510448128	0.818583315526782
TA	DAY8	C4	6.54380474783148	0.782293766042577
TA	DAY8	C8	6.43242900454544	1.08751763812139
TA	DAY8	TG	4.87314564545757	1.18360602200226
TB	DAY1	C4	6.06453282471955	1.20777413770902
TB	DAY1	C8	6.75734926741865	1.26173674200823
TB	DAY1	TG	3.38678071038108	1.13525367432009
TB	DAY15	C4	5.99790893959968	1.04896993185113
TB	DAY15	C8	6.80995447110641	1.1754337775359
TB	DAY15	TG	3.86551818696206	0.945409718300682
TB	DAY22	C4	6.04443430417477	0.955704479252341
TB	DAY22	C8	6.81669519993944	1.20899977281865
TB	DAY22	TG	4.66802407886372	0.752671675346694
TB	DAY29	C4	5.98177879740219	0.646823398281149
TB	DAY29	C8	6.44292285563975	1.09294335421837
TB	DAY29	TG	3.96986894028775	0.643404809235971
TB	DAY8	C4	6.67903968757188	1.00576827778752
TB	DAY8	C8	7.18177748257763	1.23386728016767
TB	DAY8	TG	4.97637823979143	1.13409862904819
TC	DAY1	C4	5.8068369930636	0.601379095760148
TC	DAY1	C8	6.11087072007812	0.751072663420787
TC	DAY1	TG	3.17230483549233	0.843940147767238
TC	DAY15	C4	5.88904664449539	0.753404337053051
TC	DAY15	C8	6.28637637384133	0.587803077128656
TC	DAY15	TG	4.34467142864388	1.46914992412843
TC	DAY22	C4	5.66445775541799	0.471534305681324
TC	DAY22	C8	6.08985335264408	0.541794185279647
TC	DAY22	TG	4.17051694151097	1.12476992326611
TC	DAY29	C4	5.72413327321955	0.567513688431716
TC	DAY29	C8	5.90284487567879	0.603859073532587
TC	DAY29	TG	4.29273460345709	0.277200087424503
TC	DAY8	C4	5.7889580569071	0.271021246690301
TC	DAY8	C8	6.31035024141612	0.696943847506675
TC	DAY8	TG	3.95487738625589	0.7789849025771
